Model,Live Acc (%),Live F1 (%),Live ROC-AUC (%),FAR (%),MAR (%),Latency (µs),Throughput (p/s),Size (KB),Train Acc (%),Train F1 (%)
Random Forest,90.99,90.97,90.59,11.91,6.89,23499.61,42,6441.4,97.77,97.74
Extra Trees,90.95,90.94,92.17,11.71,7.12,24162.78,41,11314.2,92.43,91.96
K-Nearest Neighbors,90.48,90.48,90.88,11.3,8.23,13903.82,71,5045.7,90.96,90.65
Logistic Regression,89.27,89.28,88.79,12.42,9.49,82.75,12084,1.0,88.08,86.78
Linear Discriminant Analysis,89.27,89.28,88.87,12.42,9.49,94.91,10536,1.6,87.93,86.58
AdaBoost,86.06,86.14,91.25,9.27,17.35,5040.14,198,38.9,88.25,87.13
Voting Ensemble,83.27,82.72,90.36,33.2,4.74,39873.46,25,3905.7,97.2,97.15
CatBoost,80.69,79.79,90.77,39.82,4.37,118.31,8452,248.6,97.29,97.24
LightGBM,72.42,69.32,89.77,61.1,3.19,536.93,1862,669.4,97.74,97.71
Hist Gradient Boosting,71.69,68.28,89.5,63.03,3.04,3880.67,257,653.8,97.4,97.37
XGBoost,71.56,68.23,89.32,62.73,3.48,280.25,3568,464.8,97.29,97.24
Stacking Ensemble,69.24,64.47,91.76,70.16,2.08,38560.31,25,2256.5,97.51,97.48
Gradient Boosting,67.14,60.67,89.9,76.88,0.82,237.76,4205,535.6,97.17,97.13
MLP Neural Network,58.99,44.9,76.14,97.35,0.0,119.14,8393,392.4,96.13,96.11
Gaussian Naive Bayes,58.13,43.24,90.17,99.08,0.22,83.59,11963,1.2,82.17,81.12
SVM (RBF),58.04,42.82,87.82,99.59,0.0,255.42,3915,742.6,90.03,89.19
Decision Tree,57.87,42.43,50.0,100.0,0.0,70.87,14110,18.1,96.84,96.79
